seed,retain_accuracy,forget_accuracy,test_accuracy
0,0.9978571534156799,0.9980000257492065,0.9436999559402466
1,0.9966938495635986,0.9940000176429749,0.9409999847412109
2,0.9974285960197449,0.9950000643730164,0.9422000050544739
3,0.9976122379302979,0.9950000643730164,0.9426999688148499
4,0.9980407953262329,0.9950000643730164,0.943399965763092
5,0.9973061084747314,0.9970000386238098,0.9417999982833862
6,0.9976326823234558,0.9950000643730164,0.9430999755859375
7,0.995734691619873,0.9940000176429749,0.9396999478340149
8,0.9977551102638245,0.9960000514984131,0.9429000020027161
9,0.9971836805343628,0.9940000176429749,0.9422999620437622
10,0.9978163242340088,0.9960000514984131,0.9429000020027161
11,0.9976734519004822,0.9960000514984131,0.942799985408783
12,0.9969183802604675,0.9960000514984131,0.9420999884605408
13,0.9977754950523376,0.9980000257492065,0.9429000020027161
14,0.9974489808082581,0.9960000514984131,0.9424999952316284
15,0.9977959394454956,0.9970000386238098,0.9430999755859375
16,0.9979183673858643,0.9950000643730164,0.9443999528884888
17,0.9959999918937683,0.9960000514984131,0.9398999810218811
18,0.9977142810821533,0.9950000643730164,0.9431999921798706
19,0.9973469376564026,0.9950000643730164,0.9414999485015869
20,0.9966938495635986,0.9940000176429749,0.9413999915122986
21,0.9979591965675354,0.9980000257492065,0.9440999627113342
22,0.9977142810821533,0.9950000643730164,0.9417999982833862
23,0.9975918531417847,0.9950000643730164,0.9422000050544739
24,0.9982653260231018,0.9980000257492065,0.9437999725341797
25,0.994653046131134,0.9940000176429749,0.9389999508857727
26,0.9973469376564026,0.9940000176429749,0.9426999688148499
27,0.9976122379302979,0.9960000514984131,0.9442999958992004
28,0.992938756942749,0.9890000224113464,0.9351999759674072
29,0.9967958927154541,0.9950000643730164,0.9414999485015869
30,0.9971632361412048,0.9960000514984131,0.9412999749183655
31,0.9968775510787964,0.9950000643730164,0.9416999816894531
32,0.9948979616165161,0.9920000433921814,0.937999963760376
33,0.9979387521743774,0.9970000386238098,0.9434999823570251
34,0.9975101947784424,0.9950000643730164,0.9419999718666077
35,0.9976326823234558,0.9960000514984131,0.9422999620437622
36,0.9977551102638245,0.9950000643730164,0.9418999552726746
37,0.9950816035270691,0.9920000433921814,0.9386000037193298
38,0.9977754950523376,0.9950000643730164,0.9424999952316284
39,0.9980000257492065,0.9970000386238098,0.9436999559402466
40,0.9976326823234558,0.9970000386238098,0.9426999688148499
41,0.9976326823234558,0.9950000643730164,0.9431999921798706
42,0.9974081516265869,0.9940000176429749,0.9423999786376953
43,0.9972245097160339,0.9950000643730164,0.942799985408783
44,0.9977959394454956,0.9960000514984131,0.9424999952316284
45,0.9978571534156799,0.9980000257492065,0.9430999755859375
46,0.9971836805343628,0.9940000176429749,0.9422000050544739
47,0.9975714087486267,0.9930000305175781,0.9422999620437622
48,0.9966938495635986,0.9940000176429749,0.94159996509552
49,0.9977551102638245,0.9950000643730164,0.9429999589920044
50,0.997204065322876,0.9950000643730164,0.942799985408783
51,0.9950408339500427,0.9940000176429749,0.9390999674797058
52,0.9948979616165161,0.9930000305175781,0.9384999871253967
53,0.9975510239601135,0.9980000257492065,0.9422000050544739
54,0.9965510368347168,0.9940000176429749,0.9418999552726746
55,0.9977959394454956,0.9970000386238098,0.9423999786376953
56,0.9974898099899292,0.9960000514984131,0.9419999718666077
57,0.9972245097160339,0.9950000643730164,0.942799985408783
58,0.9976122379302979,0.9960000514984131,0.9425999522209167
59,0.9979183673858643,0.9980000257492065,0.9432999491691589
60,0.995102047920227,0.9930000305175781,0.9386000037193298
61,0.9972857236862183,0.9950000643730164,0.9425999522209167
62,0.9978979825973511,0.9960000514984131,0.9432999491691589
63,0.9974081516265869,0.9940000176429749,0.9430999755859375
64,0.9973877668380737,0.9950000643730164,0.9416999816894531
65,0.9980000257492065,0.9960000514984131,0.9422000050544739
66,0.9967346787452698,0.9950000643730164,0.9409999847412109
67,0.9975510239601135,0.9960000514984131,0.9422000050544739
68,0.9975101947784424,0.9950000643730164,0.94159996509552
69,0.9977959394454956,0.9980000257492065,0.9435999989509583
70,0.9977346658706665,0.9960000514984131,0.9425999522209167
71,0.9978571534156799,0.9980000257492065,0.9426999688148499
72,0.9975306391716003,0.9960000514984131,0.9422000050544739
73,0.9977551102638245,0.9970000386238098,0.9441999793052673
74,0.9976122379302979,0.9950000643730164,0.9424999952316284
75,0.9979795813560486,0.9980000257492065,0.9425999522209167
76,0.9961836934089661,0.9950000643730164,0.9411999583244324
77,0.9978163242340088,0.9970000386238098,0.9423999786376953
78,0.9969387650489807,0.9960000514984131,0.942799985408783
79,0.9980000257492065,0.9980000257492065,0.9432999491691589
