seed,retain_accuracy,forget_accuracy,test_accuracy
0,0.9999796152114868,0.8680000305175781,0.9412999749183655
1,0.9999796152114868,0.8800000548362732,0.94159996509552
2,1.0,0.8830000162124634,0.9411999583244324
3,1.0,0.8810000419616699,0.9408999681472778
4,0.9999796152114868,0.8570000529289246,0.9432999491691589
5,0.9999796152114868,0.8800000548362732,0.9411999583244324
6,1.0,0.9000000357627869,0.9407999515533447
7,1.0,0.8770000338554382,0.9416999816894531
8,0.9999796152114868,0.8500000238418579,0.9432999491691589
9,0.9999796152114868,0.8510000109672546,0.9422000050544739
10,1.0,0.8720000386238098,0.9420999884605408
11,1.0,0.8810000419616699,0.9417999982833862
12,1.0,0.8750000596046448,0.941100001335144
13,0.9999591708183289,0.8820000290870667,0.9411999583244324
14,0.9999796152114868,0.8820000290870667,0.9404999613761902
15,0.9999796152114868,0.8740000128746033,0.9401999711990356
16,0.9999796152114868,0.8670000433921814,0.9413999915122986
17,0.9999796152114868,0.8800000548362732,0.9404999613761902
18,0.9999796152114868,0.8870000243186951,0.9422000050544739
19,0.9999796152114868,0.8730000257492065,0.9420999884605408
20,1.0,0.8640000224113464,0.9435999989509583
21,1.0,0.8810000419616699,0.9426999688148499
22,0.9999796152114868,0.8680000305175781,0.9417999982833862
23,0.9999796152114868,0.8760000467300415,0.9419999718666077
24,0.9999796152114868,0.8690000176429749,0.9411999583244324
25,0.9999796152114868,0.8730000257492065,0.94159996509552
26,0.9999796152114868,0.8720000386238098,0.9426999688148499
27,0.9999796152114868,0.8690000176429749,0.9422999620437622
28,1.0,0.8750000596046448,0.9420999884605408
29,0.9999796152114868,0.8850000500679016,0.9425999522209167
30,0.9999796152114868,0.8510000109672546,0.9414999485015869
31,0.9999796152114868,0.8680000305175781,0.9413999915122986
32,0.9999796152114868,0.8910000324249268,0.9406999945640564
33,1.0,0.8610000610351562,0.9399999976158142
34,1.0,0.8660000562667847,0.9407999515533447
35,0.9999796152114868,0.8810000419616699,0.9417999982833862
36,0.9999796152114868,0.8720000386238098,0.9429999589920044
37,1.0,0.8540000319480896,0.9418999552726746
38,1.0,0.8610000610351562,0.9422000050544739
39,0.9999796152114868,0.8740000128746033,0.9412999749183655
40,1.0,0.8730000257492065,0.9413999915122986
41,0.9999796152114868,0.8790000677108765,0.9422000050544739
42,0.9999796152114868,0.8870000243186951,0.9416999816894531
43,0.9999796152114868,0.8740000128746033,0.9416999816894531
44,0.9999796152114868,0.8670000433921814,0.9426999688148499
45,0.9999796152114868,0.8750000596046448,0.9423999786376953
46,0.9999796152114868,0.8700000643730164,0.9425999522209167
47,1.0,0.8840000629425049,0.9391999840736389
48,1.0,0.8860000371932983,0.9417999982833862
49,0.9999796152114868,0.878000020980835,0.9394999742507935
50,1.0,0.8720000386238098,0.9422999620437622
51,0.9999796152114868,0.8750000596046448,0.9418999552726746
52,0.9999796152114868,0.8730000257492065,0.9396999478340149
53,0.9999796152114868,0.8750000596046448,0.9413999915122986
54,0.9999796152114868,0.8730000257492065,0.9429000020027161
55,0.9999796152114868,0.8700000643730164,0.9396999478340149
56,0.9999796152114868,0.8860000371932983,0.9407999515533447
57,1.0,0.8700000643730164,0.9399999976158142
58,1.0,0.8790000677108765,0.9431999921798706
59,1.0,0.878000020980835,0.9413999915122986
60,0.9999796152114868,0.8720000386238098,0.9430999755859375
61,0.9999796152114868,0.8700000643730164,0.9401999711990356
62,0.9999796152114868,0.862000048160553,0.9412999749183655
63,0.9999796152114868,0.8680000305175781,0.9413999915122986
64,0.9999796152114868,0.8650000691413879,0.9423999786376953
65,1.0,0.8760000467300415,0.9417999982833862
66,1.0,0.8730000257492065,0.9413999915122986
67,1.0,0.8810000419616699,0.9409999847412109
68,0.9999796152114868,0.8800000548362732,0.9400999546051025
69,0.9999796152114868,0.8680000305175781,0.9411999583244324
70,1.0,0.8720000386238098,0.9399999976158142
71,1.0,0.8690000176429749,0.9419999718666077
72,0.9999796152114868,0.8790000677108765,0.9419999718666077
73,0.9999591708183289,0.8840000629425049,0.9414999485015869
74,0.9999796152114868,0.8700000643730164,0.9420999884605408
75,1.0,0.8810000419616699,0.94159996509552
76,0.9999796152114868,0.8740000128746033,0.9423999786376953
77,0.9999796152114868,0.8860000371932983,0.9419999718666077
78,1.0,0.8790000677108765,0.9411999583244324
79,0.9999796152114868,0.8860000371932983,0.9434999823570251
